id,name,type,description,usage_steps/0,usage_steps/1,usage_steps/2,usage_steps/3,usage_steps/4,safety_precautions/0,safety_precautions/1,maintenance/0,maintenance/1,common_errors/0,common_errors/1,keywords/0,keywords/1,keywords/2,keywords/3,department
stethoscope,Stethoscope,Diagnostic,Used to listen to internal sounds such as heartbeats and lung sounds.,Place earpieces in ears.,Place diaphragm on patient’s chest.,Listen to heart and lungs.,,,Clean after each use.,Do not share without disinfecting.,Check tubing regularly.,Replace ear tips when worn.,Weak sound: Check diaphragm and tubing.,No sound: Replace parts.,auscultation,heart,lungs,doctor,Doctor
thermometer,Digital Thermometer,Diagnostic,Measures a patient's body temperature quickly and accurately.,Turn on device.,Place under tongue or armpit.,Wait for beep.,Read temperature.,,Sanitize between patients.,Avoid dropping the device.,Replace battery as needed.,Clean tip regularly.,Low battery: Replace.,Inaccurate reading: Calibrate or replace.,temperature,fever,nurse,monitor,Nurse
ecg_leads,ECG Lead Set,Accessory,Electrodes used to connect a patient to an ECG machine.,Attach leads to correct body positions.,Connect to ECG machine.,Ensure good contact.,,,Use disposable pads if available.,Check for allergic reactions.,Clean reusable leads.,Inspect wires regularly.,Poor contact: Reposition leads.,Broken wires: Replace lead set.,ECG,leads,technician,monitoring,Technician
demo_model,Anatomical Model,Educational,Used to demonstrate human anatomy for learning purposes.,Place model on a stable surface.,Identify and study body parts.,Use in group discussions.,,,Handle gently.,Do not force movable parts.,Clean surface regularly.,Store in dust-free space.,Broken parts: Handle with care.,Missing labels: Replace or relabel.,anatomy,education,student,model,Student
microscope,Microscope,Analytical,Used to magnify and observe small samples in clinical and research labs.,Turn on light.,Place slide on stage.,Adjust focus and magnification.,Observe and record.,,Avoid touching lenses.,Handle slides with care.,Clean lenses with lens paper.,Calibrate focus mechanism.,Blurry image: Clean lens.,No light: Check power supply.,research,laboratory,microscope,sample,Researcher
printer,Medical Document Printer,Administrative,"Prints patient reports, forms, and prescriptions from EHR systems.",Connect to system.,Select document to print.,Check paper and ink.,Print and collect output.,,Avoid paper jams.,Do not touch hot surfaces.,Refill ink and paper regularly.,Clean printer rollers.,Paper jam: Remove stuck sheet.,Low ink: Replace cartridge.,print,report,admin,document,Administrator
clipboard,Clipboard,Accessory,Used to carry and write on paper forms during patient rounds or field visits.,Insert forms.,Write using pen.,Store securely after use.,,,Keep dry.,Avoid sharp edges.,Replace damaged boards.,Sanitize surface.,Broken clip: Replace.,Paper lost: Secure properly.,notes,forms,field,accessory,Other
defibrillator,Defibrillator,Emergency,Delivers an electric shock to the heart to restore normal rhythm during cardiac arrest.,Turn on the device.,Attach pads to the patient’s chest.,Analyze the heart rhythm.,Deliver shock if advised.,Resume CPR as instructed.,Ensure no one is touching the patient before delivering a shock.,Avoid use near water.,Check battery weekly.,Replace pads after use.,Pad placement error: Reposition pads correctly.,Low battery: Replace or recharge.,shock,cardiac arrest,AED,emergency,Emergency Room
ventilator,Ventilator,Life Support,Assists or replaces spontaneous breathing in critically ill patients.,Connect to power and oxygen.,Set parameters.,Attach to patient.,Monitor vitals.,,Verify correct settings.,Ensure filters are clean.,Inspect tubing daily.,Replace filters weekly.,Alarm triggered: Check for disconnection or blockage.,Inaccurate readings: Recalibrate.,respirator,breathing,ICU,critical care,Intensive Care
anesthesia_machine,Anesthesia Machine,Surgical,Delivers controlled gases and anesthetics to maintain unconsciousness during surgery.,Check gas supply.,Connect to patient.,Administer anesthetic.,Monitor vitals.,,Perform pre-use check.,Ensure waste gas scavenging.,Replace soda lime.,Service quarterly.,Leak: Check hoses.,No gas flow: Inspect lines.,anesthesia,surgery,gas delivery,OR,Operating Room
bp_monitor,Blood Pressure Monitor,Monitoring,Measures patient’s blood pressure to monitor cardiovascular health.,Wrap cuff.,Start measurement.,Record values.,Repeat if needed.,,Correct cuff size.,Avoid injured limbs.,Calibrate biannually.,Replace cuff if worn.,Error code: Reposition cuff.,Inaccurate reading: Recalibrate.,BP,pressure,systolic,diastolic,General Ward
centrifuge,Centrifuge,Lab Equipment,Separates fluids of different densities using centrifugal force.,Balance tubes.,Set speed.,Start machine.,Wait before opening.,,Do not open while spinning.,Balance samples.,Clean rotor.,Check for cracks.,Unbalanced load.,Machine won't start.,blood,separation,centrifugal,lab,Laboratory
spectrophotometer,Spectrophotometer,Analytical,Measures absorbance or transmission of light by a solution to determine concentration.,Turn on and warm up the device.,Insert blank and calibrate.,Insert sample and read absorbance.,Record results.,,Avoid spillage inside the device.,Handle cuvettes carefully.,Clean optical path weekly.,Recalibrate monthly.,Reading error: Recalibrate.,Dirty cuvette: Clean and retry.,absorbance,concentration,lab,research,
ehr_system,Electronic Health Records (EHR) System,Administrative,Digital platform for storing and managing patient records.,Log into the system.,Search patient profile.,Enter or retrieve data.,Log out securely.,,Do not share login credentials.,Log out after use.,Update software monthly.,Backup data daily.,Slow system: Clear cache or contact IT.,Data mismatch: Verify entries before saving.,patient data,health records,admin,digital,
automated_dispensing,Automated Dispensing Machine,Medication,Stores and dispenses medications electronically to improve efficiency and safety.,Log in with credentials.,Select medication and patient.,Confirm dosage and retrieve.,Log out after use.,,Verify patient details before dispensing.,Store narcotics securely.,Refill stock daily.,Check for expired meds weekly.,System error: Restart or contact IT.,Wrong medication selected: Cancel and reselect.,medication,dispensing,automation,pharmacy,
xray_machine,X-ray Machine,Imaging,Uses X-rays to view internal structures of the body.,Position patient correctly.,Set exposure parameters.,Instruct patient to stay still.,Capture the image.,Review and save result.,Wear lead aprons.,Avoid repeated exposure.,Check radiation output annually.,Calibrate image sensors regularly.,Blurry image: Reposition and retry.,No image: Check software and connections.,radiograph,bones,imaging,scan,
bp_monitor,Blood Pressure Monitor,Monitoring,Measures patient’s blood pressure to monitor cardiovascular health.,Wrap cuff around upper arm.,Start the measurement.,Record systolic and diastolic values.,Repeat if necessary.,,Ensure correct cuff size.,Avoid use on injured limbs.,Calibrate biannually.,Replace cuff if worn.,Error code: Reposition cuff and retry.,Inaccurate reading: Recalibrate or replace batteries.,BP,pressure,systolic,diastolic,
anesthesia_machine,Anesthesia Machine,Surgical,Delivers controlled gases and anesthetics to maintain unconsciousness during surgery.,Check gas supply and machine status.,Connect patient via breathing circuit.,Administer anesthetic agent as required.,Monitor vitals and adjust settings accordingly.,,Perform pre-use check daily.,Ensure proper scavenging of waste gases.,Replace soda lime canister regularly.,Service machine quarterly.,Leak in system: Check hoses and connections.,No gas flow: Inspect gas lines and tanks.,anesthesia,surgery,gas delivery,OR,
defibrillator,Defibrillator,Emergency,Delivers an electric shock to the heart to restore normal rhythm during cardiac arrest.,Turn on the device.,Attach pads to the patient’s chest.,Analyze the heart rhythm.,Deliver shock if advised.,Resume CPR as instructed.,Ensure no one is touching the patient before delivering a shock.,Avoid use near water.,Check battery weekly.,Replace pads after use.,Pad placement error: Reposition pads correctly.,Low battery: Replace or recharge.,shock,cardiac arrest,AED,emergency,
otoscope,Otoscope,Diagnostic,Used to examine the ears and detect infections or blockages.,Attach a new speculum.,Gently insert into ear canal.,Look through lens and adjust light.,,,Use a new speculum for each patient.,Avoid deep insertion.,Disinfect tip after use.,Change batteries regularly.,No light: Check battery.,Blurred view: Clean lens.,ear,inspection,ENT,doctor,
reflex_hammer,Reflex Hammer,Diagnostic,Used to test deep tendon reflexes.,Ask patient to relax limb.,Tap tendon with hammer.,Observe reflex response.,,,Avoid excessive force.,Sanitize before use.,Wipe clean after each use.,Inspect rubber head monthly.,Weak response: May need patient relaxation.,Inaccurate strike: Reposition and retry.,reflex,neurological,motor,doctor,
penlight,Penlight,Diagnostic,Used for checking pupil reflex and throat examination.,Turn on penlight.,Shine into each eye for pupil response.,Use to illuminate throat or wound area.,,,Avoid direct prolonged eye exposure.,Disinfect before use.,Replace batteries as needed.,Clean lens and tip.,Light not turning on: Replace battery.,Dull light: Clean the lens.,light,neurological,eye,doctor,
blood_pressure_monitor,Blood Pressure Monitor (Sphygmomanometer),Diagnostic,Measures blood pressure using a cuff and dial.,Wrap cuff on upper arm.,Inflate cuff manually or automatically.,Read systolic and diastolic values.,,,Do not overinflate.,Clean cuff between uses.,Calibrate annually.,Inspect cuff for leaks.,Inaccurate reading: Reposition cuff.,Deflation issues: Check valve.,blood,pressure,vital,monitor,
iv_stand,IV Stand,Supportive,Holds IV bags securely above the patient for fluid administration.,Adjust height to suitable level.,Hang IV bag and connect tubing.,Ensure drip chamber is visible.,,,Lock wheels during use.,Keep clear of walkways.,Clean pole and base regularly.,Lubricate joints monthly.,Tilted stand: Adjust legs.,IV bag fall: Secure hook.,iv,fluid,stand,nurse,
med_cart,Medication Cart,Storage,Stores and transports medications during nurse rounds.,Organize meds in drawers.,Label patient compartments.,Lock cart after rounds.,,,Keep cart locked when unattended.,Sanitize handles and surfaces.,Clean wheels and surfaces daily.,Check lock mechanism weekly.,Stuck drawers: Lubricate tracks.,Missing keys: Use backup access.,medication,nurse,rounds,storage,
ct_scanner,CT Scanner,Imaging,Takes cross-sectional images of the body using X-rays.,Position patient on table.,Enter scan parameters.,Start scan and monitor.,,,Limit dose exposure.,Use shielding for sensitive areas.,Clean gantry.,Check cooling system monthly.,Motion blur: Re-scan.,Image artifacts: Calibrate.,ct,scan,technician,imaging,
defibrillator,Defibrillator,Emergency,Delivers electric shock to restore normal heart rhythm.,Attach pads to chest.,Analyze rhythm.,Deliver shock if indicated.,,,Clear area before shock.,Do not touch patient.,Check battery weekly.,Inspect pads for expiry.,Shock not delivered: Check pads.,Dead battery: Replace immediately.,shock,heart,technician,aed,
glucometer,Glucometer,Diagnostic,Measures blood glucose levels in diabetic or pre-diabetic patients.,Insert test strip into the device.,Prick finger with lancet.,Place blood drop on strip and read result.,,,Use a new lancet for each test.,Dispose of sharps in a proper container.,Clean device exterior.,Replace battery as needed.,Low battery: Replace battery.,Incorrect reading: Use fresh test strips.,glucose,diabetes,pharmacy,clinic,
nebulizer,Nebulizer,Therapeutic,Delivers medication as a mist inhaled into the lungs.,Fill medication cup.,Assemble the mask or mouthpiece.,Connect tubing and turn on compressor.,,,Clean components after each use.,Ensure proper dosage and airflow.,Replace tubing regularly.,Descale compressor monthly.,Weak mist: Clean or replace filter.,No airflow: Check tubing and compressor.,inhaler,respiratory,hospital,therapy,
surgical_lamp,Surgical Lamp,Lighting,Provides high-intensity lighting during surgeries.,Adjust height and angle.,Switch on power supply.,Focus light on surgical area.,,,Avoid direct eye exposure.,Ensure electrical safety compliance.,Clean lens and body regularly.,Replace bulbs as per schedule.,Flickering: Check power connections.,Dim light: Replace bulb.,lighting,surgery,hospital,ot,
medicine_dispenser,Automated Medicine Dispenser,Pharmacy,Dispenses scheduled medications automatically to patients.,Load compartments with medication.,Program schedule and dosages.,Patient receives alert for each dose.,,,Lock device when not in use.,Monitor for missed doses.,Refill medications regularly.,Clean touch interface weekly.,Missed alerts: Check system settings.,Stuck pill: Clean internal dispenser.,medication,reminder,pharmacy,patient,
syringe_pump,Syringe Pump,Infusion,Delivers fluids or medications at a controlled rate.,Load syringe into the pump.,Set the infusion rate.,Start the pump and monitor delivery.,,,Check for air bubbles.,Use correct syringe size.,Calibrate device monthly.,Inspect for mechanical issues.,Blockage alarm: Check tubing.,Inaccurate rate: Recheck settings.,infusion,fluid,hospital,clinic,
infusion_pump,Infusion Pump,Infusion,"Delivers fluids, medication, or nutrients into a patient's bloodstream in controlled amounts.",Insert and secure the IV tubing.,Program the desired rate and volume.,Start the pump and observe for alarms.,,,Ensure correct dosage entry.,Use sterile technique to avoid contamination.,Clean exterior daily.,Test alarm and flow sensor monthly.,Air-in-line alarm: Reprime IV line.,Flow error: Reposition tubing.,infusion,iv,medication,hospital,
autoclave,Autoclave,Sterilization,Uses high-pressure steam to sterilize surgical and clinical instruments.,Load instruments into sterilization chamber.,Select appropriate cycle settings.,Start and allow complete cooling before opening.,,,Do not open while under pressure.,Use gloves to handle hot instruments.,Descale and clean chamber weekly.,Check pressure valve monthly.,Incomplete sterilization: Check temperature or load.,Seal failure: Inspect door gasket.,sterile,steam,equipment,clinic,
oxygen_concentrator,Oxygen Concentrator,Respiratory,Concentrates oxygen from ambient air for therapeutic use in patients with respiratory conditions.,Place unit in a well-ventilated area.,Attach tubing and nasal cannula.,Adjust flow rate as prescribed.,,,Keep away from flammable substances.,Avoid kinking the oxygen tubing.,Clean filters weekly.,Service motor and sensors yearly.,Low oxygen output: Replace filter.,Alarm: Check power or internal error.,oxygen,respiratory,therapy,homecare,
laryngoscope,Laryngoscope,Surgical,Used to view and access the larynx during intubation or examination.,Assemble handle and blade.,Insert carefully into the patient's mouth.,Lift to visualize vocal cords.,,,Ensure blade is secure.,Avoid excessive force to prevent trauma.,Clean and disinfect after each use.,Check bulb and blade connections.,Light not working: Replace bulb.,Loose blade: Tighten assembly.,intubation,airway,emergency,surgery,
bp_aneroid,Aneroid Sphygmomanometer,Diagnostic,Manual device to measure blood pressure using an inflatable cuff and gauge.,Wrap cuff around the upper arm.,Inflate using the bulb.,Deflate slowly while reading the dial.,,,Do not overinflate the cuff.,Avoid usage over clothing.,Calibrate annually.,Check tubing for leaks.,Inaccurate reading: Recalibrate gauge.,Leakage: Replace valve or tubing.,blood pressure,manual,clinic,nurse,
emergency_crash_cart,Emergency Crash Cart,Emergency,"Mobile cart containing life-saving drugs, equipment, and supplies for resuscitation.",Unlock cart in emergencies.,Administer drugs and equipment as per ACLS protocol.,Replenish after use.,,,Seal and lock when not in use.,Label contents clearly for fast access.,Check inventory weekly.,Ensure defibrillator battery is charged.,Expired drugs: Check labels monthly.,Missing items: Conduct routine audit.,resuscitation,emergency,hospital,critical,
suction_machine,Suction Machine,Supportive,"Removes mucus, saliva, or blood from a patient’s airway during emergencies or surgery.",Attach tubing and power on unit.,Insert catheter into airway or site.,Apply suction and remove obstruction.,,,Monitor for hypoxia during use.,Avoid prolonged suctioning.,Empty and disinfect canister daily.,Replace tubing and filters regularly.,No suction: Check tubing blockage.,Weak suction: Inspect motor and connections.,airway,suction,clinic,surgery,
sterile_tray,Sterile Surgical Tray,Surgical,Pre-packed sterile tray containing instruments needed for common surgical procedures.,Open only when ready to use.,Maintain sterile field during procedure.,Dispose of single-use instruments afterward.,,,Do not touch sterile items with bare hands.,Use within expiration date.,"Store in a cool, dry place.",Inspect seal integrity before use.,Contamination: Replace tray immediately.,Expired tray: Check date prior to use.,surgical,kit,procedure,hospital,
vein_finder,Vein Finder,Diagnostic,Projects light or infrared to help locate veins for IV access or blood draw.,Turn on the device and select brightness.,Position over patient’s arm.,Identify and mark suitable vein.,,,Avoid eye exposure to strong beam.,Clean between uses.,Wipe screen and sensors.,Charge battery regularly.,No projection: Check battery.,Inaccurate view: Clean lens.,iv,phlebotomy,diagnostic,clinic,
digital_weight_scale,Digital Weight Scale,Monitoring,Electronic device to accurately measure a patient's weight.,Place scale on a level surface.,Have patient stand still on platform.,Read measurement from display.,,,Ensure non-slip surface.,Do not overload beyond capacity.,Clean platform regularly.,Check battery monthly.,Inaccurate reading: Recalibrate.,No power: Replace batteries.,weight,monitor,nurse,checkup,
defibrillator,Defibrillator,Emergency,Delivers electric shocks to restore normal heart rhythm during cardiac arrest.,Turn on the device and follow voice prompts.,Attach adhesive pads to the patient’s chest.,Clear area and press shock button when advised.,,,Do not touch the patient during shock.,Ensure correct pad placement.,Check battery and pads monthly.,Run self-test weekly.,Low battery: Replace immediately.,Pad malfunction: Use spare pads.,shock,cardiac,aed,resuscitation,
ecg_machine,ECG Machine,Diagnostic,Records the electrical activity of the heart to detect abnormalities.,Connect electrodes to the patient's limbs and chest.,Ensure patient is still and relaxed.,Start recording and review waveform.,,,Use disposable electrodes.,Avoid electrical interference.,Clean leads regularly.,Calibrate annually.,No signal: Reconnect leads.,Artifacts: Instruct patient to remain still.,cardiology,rhythm,diagnosis,monitor,
portable_ultrasound,Portable Ultrasound,Imaging,Uses high-frequency sound waves to produce internal body images in real-time.,Apply gel to the probe.,Place probe on area of interest.,Adjust settings and capture image.,,,Use appropriate gel.,Clean probe after each use.,Update software regularly.,Check image calibration monthly.,Blurry image: Adjust frequency or gain.,Frozen screen: Reboot device.,imaging,real-time,non-invasive,portable,
clinical_thermometer,Clinical Thermometer,Diagnostic,Glass or digital device used to measure a patient's body temperature.,Place under tongue or in armpit.,Wait until reading stabilizes.,Record temperature.,,,Sanitize before/after use.,Do not use broken thermometers.,Clean with alcohol swabs.,Replace batteries if digital.,Low accuracy: Calibrate device.,Broken glass: Dispose safely.,temperature,fever,diagnosis,nurse,
ambu_bag,Ambu Bag (BVM),Emergency,Manually provides positive pressure ventilation to patients not breathing adequately.,Connect mask to bag.,Seal mask over patient’s face.,Squeeze bag every 5 seconds.,,,Avoid over-inflation.,Check valve function.,Inspect mask and valves before use.,Sterilize reusable components.,Air leak: Check seal.,Stiff bag: Replace or inspect valve.,rescue,ventilation,first aid,manual,
pulse_oximeter,Pulse Oximeter,Monitoring,Measures blood oxygen saturation (SpO2) and pulse rate via fingertip sensor.,Insert patient's finger into sensor clip.,Turn on device.,Read SpO2 and pulse on display.,,,"Use on clean, dry fingers.",Avoid strong light during reading.,Disinfect sensor regularly.,Replace batteries as needed.,Inaccurate reading: Reposition sensor.,No reading: Check for poor circulation.,oxygen,vitals,monitor,clinic,
hospital_bed,Adjustable Hospital Bed,Supportive,"Provides comfort and safety for patients; includes adjustable head, foot, and height settings.",Adjust head/foot positions as needed.,Lock wheels for safety.,Check rails before patient transfer.,,,Always lock wheels when stationary.,Check side rail function.,Lubricate joints quarterly.,Inspect electric components monthly.,Remote failure: Check wiring.,Motor jam: Reset or inspect gears.,bed,patient care,comfort,adjustable,
iv_stand,IV Stand,Supportive,Holds IV fluid bags and allows gravity-based infusion into patients.,Hang IV bag from hook.,Adjust height as needed.,Secure tubing to patient’s IV site.,,,Stabilize base before use.,Do not overload with multiple bags.,Clean stand regularly.,Inspect wheels and height mechanism.,Tipping: Use weighted base.,Stuck adjustment: Lubricate pole.,infusion,fluid,stand,hospital,
urine_analyzer,Urine Analyzer,Diagnostic,Automated device that tests urine for various chemical and physical parameters.,Insert urine test strip.,Load into analyzer.,Read results on screen or printout.,,,Wear gloves while handling samples.,Avoid contact with test area.,Clean strip holder regularly.,Calibrate using control samples.,Invalid result: Use fresh strip.,Printer jam: Reload paper.,urine,lab,test,clinic,
surgical_headlight,Surgical Headlight,Lighting,Wearable light source to provide focused illumination during surgeries or examinations.,Secure headset on surgeon's head.,Adjust light direction.,Switch on and dim as required.,,,Avoid shining light into eyes.,Ensure proper battery attachment.,Disinfect headband and lens.,Charge or replace batteries regularly.,Flickering light: Replace bulb or battery.,Loose fit: Adjust straps.,illumination,surgery,portable,wearable,
nebulizer,Nebulizer,Therapeutic,Converts liquid medication into mist for inhalation by patients with respiratory issues.,Add prescribed medication to the cup.,Assemble mouthpiece or mask and tubing.,Switch on the device and inhale mist.,,,Disinfect parts after each use.,Avoid sharing nebulizer components.,Clean mouthpiece daily.,Replace filters regularly.,Weak mist: Clean or replace filter.,No output: Check compressor function.,inhalation,asthma,respiratory,therapy,
blood_bag_sealer,Blood Bag Sealer,Laboratory,"Seals the tubing of blood bags using heat, preventing contamination and leakage.",Insert tube into the sealing slot.,Activate sealer to clamp and heat.,Wait for indicator before removing.,,,Avoid direct contact with heating elements.,"Use on clean, dry tubing only.",Clean sealing area after use.,Inspect sealing wire periodically.,Incomplete seal: Replace heating element.,No response: Check power supply.,blood bank,seal,collection,transfusion,
ent_exam_chair,ENT Examination Chair,Examination,Adjustable chair designed for ENT procedures and examinations.,Adjust height and backrest for patient comfort.,Use foot controls for recline.,Lock position during procedure.,,,Check lock before seating patient.,Ensure stable base before tilting.,Wipe surfaces with disinfectant.,Inspect motors and controls monthly.,Remote not working: Replace battery.,Motor jam: Call technician.,ent,examination,chair,clinic,
digital_xray_system,Digital X-ray System,Imaging,"Captures radiographic images digitally, enhancing diagnostics and reducing exposure.",Position patient and X-ray panel.,Adjust exposure settings.,Capture and store image.,,,Use lead aprons.,Avoid unnecessary exposure.,Calibrate imaging sensors monthly.,Update software regularly.,Image blur: Adjust patient position.,Software crash: Restart system.,radiology,digital,xray,diagnostic,
stethoscope,Stethoscope,Diagnostic,"Acoustic medical device for auscultation of heart, lung, and bowel sounds.",Place diaphragm on patient’s body.,Listen to internal sounds.,Compare sounds from different locations.,,,Sanitize earpieces before and after use.,Avoid dropping to prevent damage.,Wipe tubing regularly.,Replace ear tips if worn out.,Low sound: Check seal and diaphragm.,Broken tubing: Replace stethoscope.,auscultation,heart,lung,clinic,
surgical_instruments_set,Surgical Instruments Set,Surgical,"Comprehensive set of tools used in surgical procedures including scalpel, forceps, scissors, etc.",Verify sterilization before use.,Select instruments based on procedure.,Handle with care during surgery.,,,Use only by trained personnel.,Prevent cross-contamination.,Clean and autoclave after use.,Sharpen blades regularly.,Blunt edges: Resharpen or replace.,Rust: Discard and report.,scalpel,forceps,operation,ot,
vital_signs_monitor,Vital Signs Monitor,Monitoring,"Displays multiple parameters including heart rate, blood pressure, temperature, and oxygen saturation.",Connect sensors to patient.,Turn on monitor and configure settings.,Observe readings on screen.,,,Ensure sensor placement is correct.,Do not use damaged cables.,Wipe monitor after use.,Calibrate monthly.,Inaccurate reading: Recheck sensors.,Alarm issue: Adjust thresholds.,monitoring,icu,bp,spo2,
ophthalmoscope,Ophthalmoscope,Diagnostic,Used to examine the interior of the eye including retina and optic nerve.,Dim room lighting.,Shine light into the eye from close range.,Observe retina through viewing lens.,,,Use low light to avoid discomfort.,Clean lens before and after use.,Replace bulb as needed.,Recharge or replace batteries.,Dim view: Clean or replace bulb.,No light: Check battery or bulb.,eye,fundus,optic,retina,
wheelchair,Wheelchair,Mobility Aid,Manual or powered device for patient transportation and mobility.,Adjust footrests and armrests.,Seat patient and apply seatbelt if available.,Unlock wheels to move.,,,Lock wheels before seating.,Do not exceed weight limit.,Check tire pressure.,Lubricate moving joints.,Brake failure: Repair or replace.,Worn tire: Replace immediately.,transport,mobility,disabled,clinic,
infant_incubator,Infant Incubator,Neonatal Care,Provides a controlled environment of temperature and humidity for premature or ill newborns.,Place baby inside with monitors.,Adjust temperature and humidity settings.,Monitor vitals continuously.,,,Maintain strict hygiene.,Avoid direct cold drafts or overheating.,Clean chamber after each use.,Service sensors quarterly.,Temperature deviation: Reset control unit.,Alarm error: Check baby sensors.,neonatal,nicu,premature,care,
blood_glucose_meter,Blood Glucose Meter,Diagnostic,Measures blood sugar levels using a small drop of blood on a test strip.,Insert test strip into the device.,Prick finger with lancet.,Apply blood to strip and read result.,,,Use sterile lancets.,Do not share devices between patients.,Clean meter regularly.,Replace batteries when low.,Strip error: Use a new strip.,Inaccurate reading: Recalibrate meter.,diabetes,sugar,glucose,monitoring,
dermatome,Dermatome,Surgical,Device used to slice thin skin layers for grafting purposes.,Set blade depth.,Move device smoothly across donor site.,Collect grafted skin.,,,Use on clean surgical field.,Check blade for sharpness before use.,Sterilize after each use.,Lubricate moving parts.,Uneven graft: Adjust depth setting.,Blade jam: Clean or replace.,graft,plastic surgery,skin,cutting,
